,issn,issn_alt,context_name,journal_url,gcld3_code,language,discipline
0,1018-2888,2709-7951,Diagnóstico,http://142.44.242.51/index.php/diagnostico,es,Spanish,Medical and Health Sciences
1,2236-3785,,Revista Ciências em Saúde,http://186.225.220.186:7474/ojs/index.php/rcsfmit_zero,pt,Portuguese,Medical and Health Sciences
2,2077-1371,2077-1460,Biosfera,http://21bs.ru/index.php/bio,en,English,Biological Sciences
3,2089-4686,2548-5970,2-TRIK: TUNAS-TUNAS RISET KESEHATAN,http://2trik.jurnalelektronik.com/index.php/2trik,id,Indonesian,Medical and Health Sciences
4,2705-0505,,医学论坛,http://2winpub.usp-pl.com/index.php/MF,zh,Chinese,Medical and Health Sciences
5,2705-1358,,现代教育与实践,http://2winpub.usp-pl.com/index.php/xdjysj,zh,Chinese,Medical and Health Sciences
6,1392-0316,,Acta Academiae Artium Vilnensis,http://aaav.vda.lt/journal,en,English,Studies in Creative Arts and Writing
7,2077-9038,,ACADEMIA. АРХИТЕКТУРА И СТРОИТЕЛЬСТВО,http://aac.raasn.ru/index.php/aac,ru,Russian,Built Environment and Design
8,2395-874X,,Acta Agrícola y Pecuaria,http://aap.uaem.mx/index.php/aap,es,Spanish,Biological Sciences
9,2346-8645,,Horizontes Sociológicos,http://aass.org.elserver.com/ojs/index.php/hs,es,Spanish,Studies in Human Society
10,2684-8570,,Abdi: Jurnal Pengabdian dan Pemberdayaan Masyarakat,http://abdi.ppj.unp.ac.id/index.php/abdi,id,Indonesian,Studies in Human Society
11,2356-2935,2657-0629,Abdi Insani,http://abdiinsani.unram.ac.id/index.php/jurnal,id,Indonesian,Engineering and Technology
12,2615-3696,2620-3235,ABDIMASKU : JURNAL PENGABDIAN MASYARAKAT,http://abdimasku.lppm.dinus.ac.id/index.php/jurnalabdimasku,id,Indonesian,Education
13,2747-0482,,ABHATS: Jurnal Islam Ulil Albab,http://abhats.org/index.php/abhats,id,Indonesian,Philosophy and Religious Studies
14,1869-0122,,Journal of Alevism-Bektashism Studies,http://abked.de/index.php/abked,de,German,History and Archaeology
15,2710-6918,,Journal of Undergraduate Social Science and Technology,http://abrn.asia/ojs/index.php/JUSST,en,English,"Commerce, Management, Tourism and Services"
16,2504-8430,,Asia Pacific Journal of Social Science Research,http://abrn.asia/ojs/index.php/apjssr,en,English,"Commerce, Management, Tourism and Services"
17,2504-8449,,Journal of Postgraduate Current Business Research,http://abrn.asia/ojs/index.php/jpcbr,en,English,"Commerce, Management, Tourism and Services"
18,1855-3303,2335-4194,Academica Turistica - Tourism and Innovation Journal,http://academica.turistica.si/index.php/AT-TIJ,en,English,"Commerce, Management, Tourism and Services"
19,2722-9165,,Proceeding Annual Conference on Islamic Education,http://acied.pp-paiindonesia.org/index.php/acied,en,English,Studies in Human Society
20,2717-9788,,Archives of Current Medical Research,http://acmronline.org/index.php/acmronline,en,English,Medical and Health Sciences
21,2075-8251,,Acta Naturae,http://actanaturae.ru/index.php/2075-8251,en,English,Biological Sciences
22,2675-0937,,Revista Eletrônica Acta Sapientia,http://actasapientia.net.br/index.php/acsa,en,English,"Commerce, Management, Tourism and Services"
23,0719-7543,,Acto & Forma,http://actoyforma.cl/index.php/ayf,es,Spanish,Engineering and Technology
24,1406-2283,2228-4699,Acta et Commentationes Universitatis Tartuensis de Mathematica,http://acutm.math.ut.ee/index.php/acutm,en,English,Mathematical Sciences
25,2014-1130,,"Mitologías hoy. Revista de pensamiento, crítica y estudios literarios latinoamericanos",http://ada.uab.cat:8086/mitologias,es,Spanish,"Language, Communication and Culture"
26,2014-8798,,Locus Amoenus,http://ada.uab.cat:8101/locus,en,English,Built Environment and Design
27,2014-5748,,Rubrica Contemporanea,http://ada.uab.cat:8102/rubrica,ca,Catalan,Studies in Human Society
28,2014-8801,,Educar,http://ada.uab.cat:8103/educar,ca,Catalan,Studies in Human Society
29,2014-4512,,Documents d'Anàlisi Geogràfica,http://ada.uab.cat:8104/dag,es,Spanish,Studies in Human Society
30,2462-7518,,Derecho Animal. Forum of Animal Law Studies,http://ada.uab.cat:8105/da,en,English,Agricultural and Veterinary Sciences
31,1578-7559,,Revista Tradumàtica: tecnologies de la traducció,http://ada.uab.cat:8107/tradumatica,ca,Catalan,Information and Computing Sciences
32,2013-6196,,Bellaterra: Journal of Teaching and Learning Language and Literature,http://ada.uab.cat:8108/jtl3,ca,Catalan,"Language, Communication and Culture"
33,2013-9004,,Papers. Revista de Sociologia,http://ada.uab.cat:8109/papers,es,Spanish,Studies in Human Society
34,2174-6486,,Enseñanza de las Ciencias. Revista de investigación y experiencias didácticas,http://ada.uab.cat:8110/ensciencias,es,Spanish,Studies in Human Society
35,1579-0185,,Redes. Revista hispana para el análisis de redes sociales,http://ada.uab.cat:8112/redes,es,Spanish,Studies in Human Society
36,2014-7910,,Brumal. Revista de investigación sobre lo Fantástico,http://ada.uab.cat:8113/brumal,en,English,"Language, Communication and Culture"
37,1577-5097,,ELCVIA Electronic Letters on Computer Vision and Image Analysis,http://ada.uab.cat:8114/elcvia,en,English,Information and Computing Sciences
38,2014-9719,,Catalan Journal of Linguistics,http://ada.uab.cat:8115/catJL,ca,Catalan,"Language, Communication and Culture"
39,2466-7757,,Langues & Parole,http://ada.uab.cat:8117/languesparole,fr,French,"Language, Communication and Culture"
40,2462-3733,,Doblele. Revista de lengua y literatura,http://ada.uab.cat:8119/doblele,es,Spanish,"Language, Communication and Culture"
41,2339-8523,,Indialogs,http://ada.uab.cat:8128/indialogs,en,English,"Language, Communication and Culture"
42,2014-8860,,Anuario Lope de Vega,http://ada.uab.cat:8131/anuariolopedevega,es,Spanish,"Language, Communication and Culture"
