issn,issn_alt,context_name,journal_url,language
1018-2888,2709-7951,Diagnóstico,http://142.44.242.51/index.php/diagnostico,Spanish
2236-3785,,Revista Ciências em Saúde,http://186.225.220.186:7474/ojs/index.php/rcsfmit_zero,Portuguese
2077-1371,2077-1460,Biosfera,http://21bs.ru/index.php/bio,English
2089-4686,2548-5970,2-TRIK: TUNAS-TUNAS RISET KESEHATAN,http://2trik.jurnalelektronik.com/index.php/2trik,Indonesian
2705-0513,,工程技术研究,http://2winpub.usp-pl.com/index.php/ETR,Chinese
2705-0505,,医学论坛,http://2winpub.usp-pl.com/index.php/MF,Chinese
2705-1358,,现代教育与实践,http://2winpub.usp-pl.com/index.php/xdjysj,Chinese
1392-0316,,Acta Academiae Artium Vilnensis,http://aaav.vda.lt/journal,English
2077-9038,,ACADEMIA. АРХИТЕКТУРА И СТРОИТЕЛЬСТВО,http://aac.raasn.ru/index.php/aac,Russian
2395-874X,,Acta Agrícola y Pecuaria,http://aap.uaem.mx/index.php/aap,Spanish
2346-8645,,Horizontes Sociológicos,http://aass.org.elserver.com/ojs/index.php/hs,Spanish
2684-8570,,Abdi: Jurnal Pengabdian dan Pemberdayaan Masyarakat,http://abdi.ppj.unp.ac.id/index.php/abdi,Indonesian
2356-2935,2657-0629,Abdi Insani,http://abdiinsani.unram.ac.id/index.php/jurnal,Indonesian
2615-3696,2620-3235,ABDIMASKU : JURNAL PENGABDIAN MASYARAKAT,http://abdimasku.lppm.dinus.ac.id/index.php/jurnalabdimasku,Indonesian
2747-0482,,ABHATS: Jurnal Islam Ulil Albab,http://abhats.org/index.php/abhats,Indonesian
1869-0122,,Journal of Alevism-Bektashism Studies,http://abked.de/index.php/abked,German
2710-6918,,Journal of Undergraduate Social Science and Technology,http://abrn.asia/ojs/index.php/JUSST,English
2504-8430,,Asia Pacific Journal of Social Science Research,http://abrn.asia/ojs/index.php/apjssr,English
2504-8449,,Journal of Postgraduate Current Business Research,http://abrn.asia/ojs/index.php/jpcbr,English
1855-3303,2335-4194,Academica Turistica - Tourism and Innovation Journal,http://academica.turistica.si/index.php/AT-TIJ,English
2722-9165,,Proceeding Annual Conference on Islamic Education,http://acied.pp-paiindonesia.org/index.php/acied,English
2717-9788,,Archives of Current Medical Research,http://acmronline.org/index.php/acmronline,English
2075-8251,,Acta Naturae,http://actanaturae.ru/index.php/2075-8251,English
2675-0937,,Revista Eletrônica Acta Sapientia,http://actasapientia.net.br/index.php/acsa,English
0719-7543,,Acto & Forma,http://actoyforma.cl/index.php/ayf,Spanish
1406-2283,2228-4699,Acta et Commentationes Universitatis Tartuensis de Mathematica,http://acutm.math.ut.ee/index.php/acutm,English
2014-1130,,"Mitologías hoy. Revista de pensamiento, crítica y estudios literarios latinoamericanos",http://ada.uab.cat:8086/mitologias,Spanish
2014-8798,,Locus Amoenus,http://ada.uab.cat:8101/locus,English
2014-5748,,Rubrica Contemporanea,http://ada.uab.cat:8102/rubrica,Catalan
2014-8801,,Educar,http://ada.uab.cat:8103/educar,Catalan
2014-4512,,Documents d'Anàlisi Geogràfica,http://ada.uab.cat:8104/dag,Spanish
2462-7518,,Derecho Animal. Forum of Animal Law Studies,http://ada.uab.cat:8105/da,English
1578-7559,,Revista Tradumàtica: tecnologies de la traducció,http://ada.uab.cat:8107/tradumatica,Catalan
2013-6196,,Bellaterra: Journal of Teaching and Learning Language and Literature,http://ada.uab.cat:8108/jtl3,Catalan
2013-9004,,Papers. Revista de Sociologia,http://ada.uab.cat:8109/papers,Spanish
2174-6486,,Enseñanza de las Ciencias. Revista de investigación y experiencias didácticas,http://ada.uab.cat:8110/ensciencias,Spanish
1579-0185,,Redes. Revista hispana para el análisis de redes sociales,http://ada.uab.cat:8112/redes,Spanish
2014-7910,,Brumal. Revista de investigación sobre lo Fantástico,http://ada.uab.cat:8113/brumal,English
1577-5097,,ELCVIA Electronic Letters on Computer Vision and Image Analysis,http://ada.uab.cat:8114/elcvia,English
2014-9719,,Catalan Journal of Linguistics,http://ada.uab.cat:8115/catJL,Catalan
2466-7757,,Langues & Parole,http://ada.uab.cat:8117/languesparole,French
2462-3733,,Doblele. Revista de lengua y literatura,http://ada.uab.cat:8119/doblele,Spanish
2339-8523,,Indialogs,http://ada.uab.cat:8128/indialogs,English
2014-8860,,Anuario Lope de Vega,http://ada.uab.cat:8131/anuariolopedevega,Spanish
1699-6712,,Ciències: revista del professorat de ciències de Primària i Secundària,http://ada.uab.cat:8132/ciencies,Catalan
2339-6490,,Treballs d'Arqueologia,http://ada.uab.cat:8136/treballsarqueologia,Catalan
2014-850X,,Faventia,http://ada.uab.cat:8137/faventia,Spanish
2014-8410,,Medievalia,http://ada.uab.cat:8139/medievalia,Catalan
